X,Y,Z,Temperature
-0.0525526,-0.0477624,175,300
-0.062926,-0.0521972,175,300
-0.0562694,-0.0567939,175,300
-0.0610153,-0.0401762,175,300
-0.0627377,-0.0409686,175,300
-0.05143,-0.056472,175,300
-0.0513523,-0.0478613,175,300
-0.0402049,-0.0548979,175,300
-0.0426302,-0.0475381,175,300
-0.0457003,-0.0416329,175,300
0.0381854,0.18451,175,300.006
0.0352443,0.175228,175,300.004
0.0413014,0.176473,175,300.023
0.039252,0.184712,175,300.01
0.0305773,0.169707,175,300.002
0.0272086,0.180594,175,300.001
0.0264653,0.17962,175,300.001
0.0343398,0.163292,175,300.006
0.0375246,0.166781,175,300.008
0.03814,0.185399,175,300.006
0.0322749,0.183166,175,300.004
0.0247163,0.168078,175,300.001
0.0034097,0.0634319,175,300.469
0.00194622,0.0610896,175,300.588
0.00387199,0.0618479,175,300.82
0.00843195,0.0607757,175,301.327
0.00201469,0.0515548,175,301.679
0.00696395,0.0522486,175,302.416
0.0125488,0.0562371,175,302.289
0.00843795,0.0472353,175,305.221
0.208099,0.0647675,175,300.005
0.210526,0.0632862,175,300.003
0.20805,0.0690761,175,300.001
0.195169,0.0629776,175,300.05
0.19516,0.0629551,175,300.05
0.195169,0.0629488,175,300.05
0.19513,0.0629742,175,300.05
0.19514,0.0629441,175,300.051
0.195156,0.0629449,175,300.05
-0.160753,0.13257,175,300
-0.165257,0.134694,175,300
-0.162093,0.130076,175,300
-0.160663,0.130178,175,300
-0.163462,0.130037,175,300
0.00416549,-0.0306149,175,300
0.00436961,-0.0188799,175,300.094
-0.00387195,-0.0248929,175,300.001
0.0110339,-0.0256758,175,300.013
-0.00633401,-0.02616,175,300
0.00261746,-0.0315244,175,300
0.00502111,-0.0326493,175,300
-0.00460459,-0.0370564,175,300
-0.000787573,-0.038633,175,300
0.0118998,-0.027829,175,300.012
0.0174062,-0.0380487,175,300
0.00674264,-0.0364145,175,300
0.0112796,-0.045567,175,300
0.0184263,-0.0386325,175,300
0.00265389,-0.0430085,175,300
0.0181397,-0.0376006,175,300.001
-0.172147,0.021786,175,300
-0.167941,0.0304178,175,300
-0.170251,0.0299721,175,300
-0.167929,0.0329341,175,300
-0.172791,0.0208294,175,300
-0.172361,0.0206921,175,300
-0.178896,0.0303684,175,300
-0.175128,0.038819,175,300
-0.180755,0.0288297,175,300
-0.174791,0.0227093,175,300
-0.153463,0.0362198,175,300
-0.162603,0.0332679,175,300
-0.164923,0.0282428,175,300
-0.157719,0.0264881,175,300
-0.157502,0.0394547,175,300
-0.161475,0.0229324,175,300
-0.16613,0.0390797,175,300
-0.150762,0.107085,175,300
-0.13893,0.111107,175,300
-0.145876,0.119122,175,300
-0.1499,0.121606,175,300
-0.137564,0.111869,175,300
-0.145321,0.098687,175,300
-0.138118,0.108311,175,300
-0.16088,0.113815,175,300
-0.157813,0.100281,175,300
0.132739,-0.0544182,175,300
0.132672,-0.0511914,175,300
0.123808,-0.0549134,175,300
0.123807,-0.0566657,175,300
0.122662,-0.0572725,175,300
0.130468,-0.0501739,175,300
0.122509,-0.0544216,175,300
0.12188,-0.0556195,175,300
0.131511,-0.0648574,175,300
0.128699,-0.0655159,175,300
0.115784,-0.0453629,175,300
0.115449,-0.0459467,175,300
0.117458,-0.0553758,175,300
0.119263,-0.0584319,175,300
0.109177,-0.0568477,175,300
0.112055,-0.064174,175,300
0.118748,-0.063338,175,300
0.113758,-0.0470528,175,300
0.345052,-0.0513353,175,300
0.352067,-0.0529037,175,300
0.349632,-0.0498859,175,300
0.353779,-0.0399299,175,300
0.352255,-0.0410145,175,300
0.354339,-0.0403795,175,300
0.342381,-0.0329525,175,300
0.344421,-0.0359387,175,300
0.346021,-0.0301448,175,300
0.341351,-0.040734,175,300
0.354047,-0.0384887,175,300
0.354419,-0.0395606,175,300
0.113541,0.0417163,175,331.968
0.115879,0.0382785,175,333.522
0.116282,0.044772,175,331.948
0.109116,0.0381437,175,333.713
0.1079,0.0402496,175,332.757
0.11443,0.0475224,175,330.796
0.110507,0.0445053,175,330.498
0.105848,0.038424,175,333.562
0.104184,0.0483304,175,330.408
0.104491,0.0451607,175,331.587
0.178754,-0.0657565,175,300
0.174698,-0.0623422,175,300
0.174342,-0.068744,175,300
0.166096,-0.0622539,175,300
0.169356,-0.0699178,175,300
0.177882,-0.0619854,175,300
0.164996,-0.0672602,175,300
0.17008,-0.0556767,175,300
0.175946,-0.0541313,175,300
0.162956,-0.0553887,175,300
0.163341,-0.0462327,175,300
0.166522,-0.0455736,175,300
0.15491,-0.0532857,175,300
0.158577,-0.0625365,175,300
0.155156,-0.0645148,175,300
0.163531,-0.064608,175,300
0.178892,-0.00829281,175,307.616
0.179318,-0.00831095,175,307.476
0.179381,-0.00812784,175,308.178
0.179532,-0.00828573,175,307.462
0.179454,-0.00941752,175,306.467
0.170934,-0.0116232,175,306.189
0.178224,-0.0161932,175,300.494
0.171696,-0.00798532,175,309.841
0.179761,-0.016067,175,300.451
0.181657,-0.00957672,175,306.052
0.180437,-0.0150848,175,301.348
0.189398,-0.0136674,175,301.478
0.19,0,175,339.988
