X,Y,Z_Plane,Temperature_3D,Temperature_2D,Temp_Difference
-1.39E-17,0.1,10,320.63,341.335,-20.705
0.095,0.005,20,333.328,342.104,-8.776
0.095,-5.49E-34,20,334.541,342.165,-7.624
0.1,-5.78E-34,20,333.999,342.135,-8.136
0.1,0.005,20,333.018,342.084,-9.066
0.1,0.01,20,331.886,342.026,-10.14
0.095,0.01,20,332.187,342.045,-9.858
0.1,0.015,20,330.822,341.969,-11.147
0.095,0.015,20,331.113,341.989,-10.876
0.1,0.02,20,329.822,341.915,-12.093
0.095,0.02,20,330.104,341.934,-11.83
0.1,0.025,20,328.882,341.862,-12.98
0.095,0.025,20,329.156,341.882,-12.726
0.1,0.03,20,328,341.812,-13.812
0.095,0.03,20,328.266,341.832,-13.566
0.1,0.035,20,327.174,341.764,-14.59
0.095,0.035,20,327.432,341.783,-14.351
0.1,0.04,20,326.401,341.718,-15.317
0.095,0.04,20,326.652,341.737,-15.085
0.1,0.045,20,325.681,341.674,-15.993
0.095,0.045,20,325.925,341.693,-15.768
0.1,0.05,20,325.01,341.632,-16.622
0.095,0.05,20,325.248,341.651,-16.403
0.095,0.055,20,324.621,341.611,-16.99
0.1,0.055,20,324.389,341.592,-17.203
0.1,0.06,20,323.815,341.554,-17.739
0.095,0.06,20,324.041,341.574,-17.533
0.1,0.065,20,323.287,341.518,-18.231
0.095,0.065,20,323.509,341.538,-18.029
0.1,0.07,20,322.805,341.484,-18.679
0.095,0.07,20,323.022,341.504,-18.482
0.1,0.075,20,322.367,341.453,-19.086
0.095,0.075,20,322.579,341.472,-18.893
0.1,0.08,20,321.972,341.423,-19.451
0.095,0.08,20,322.181,341.443,-19.262
0.1,0.085,20,321.62,341.396,-19.776
0.095,0.085,20,321.825,341.415,-19.59
0.1,0.09,20,321.309,341.37,-20.061
0.095,0.09,20,321.512,341.389,-19.877
0.1,0.095,20,321.04,341.347,-20.307
0.095,0.095,20,321.24,341.366,-20.126
0.1,0.1,20,320.916,341.335,-20.419
0.095,0.1,20,321.01,341.345,-20.335
0.09,0.005,20,333.597,342.121,-8.524
0.09,-5.20E-34,20,334.812,342.182,-7.37
0.09,0.01,20,332.451,342.063,-9.612
0.09,0.015,20,331.371,342.006,-10.635
0.09,0.02,20,330.355,341.952,-11.597
0.09,0.025,20,329.4,341.9,-12.5
0.09,0.03,20,328.503,341.849,-13.346
0.09,0.035,20,327.663,341.801,-14.138
0.09,0.04,20,326.877,341.755,-14.878
0.09,0.045,20,326.143,341.711,-15.568
0.09,0.05,20,325.461,341.669,-16.208
0.09,0.055,20,324.829,341.629,-16.8
0.09,0.06,20,324.244,341.591,-17.347
0.09,0.065,20,323.707,341.555,-17.848
0.09,0.07,20,323.216,341.521,-18.305
0.09,0.075,20,322.77,341.49,-18.72
0.09,0.08,20,322.368,341.46,-19.092
0.09,0.085,20,322.01,341.432,-19.422
0.09,0.09,20,321.694,341.407,-19.713
0.09,0.095,20,321.42,341.383,-19.963
0.09,0.1,20,321.187,341.362,-20.175
0.085,0.005,20,333.83,342.137,-8.307
0.085,-4.91E-34,20,335.046,342.198,-7.152
0.085,0.01,20,332.68,342.078,-9.398
0.085,0.015,20,331.596,342.022,-10.426
0.085,0.02,20,330.575,341.967,-11.392
0.085,0.025,20,329.614,341.915,-12.301
0.085,0.03,20,328.712,341.865,-13.153
0.085,0.035,20,327.866,341.816,-13.95
