X,Y,Temperature_3D,Temperature_2D,Temp_Difference
0.02,0.09,322.21,341.435,-19.225000000000023
0.02,0.095,321.929,341.412,-19.483000000000004
0.02,0.1,321.691,341.39000000000004,-19.69900000000007
0.015,-8.67e-35,335.345,342.19800000000004,-6.853000000000009
0.015,0.005,334.128,342.137,-8.009000000000015
0.015,0.01,332.976,342.078,-9.101999999999975
0.015,0.015,331.888,342.022,-10.134000000000015
0.015,0.02,330.861,341.967,-11.105999999999995
0.015,0.025,329.894,341.915,-12.021000000000015
0.015,0.03,328.986,341.865,-12.879000000000019
0.015,0.035,328.134,341.816,-13.68199999999996
0.015,0.04,327.336,341.77,-14.433999999999969
0.015,0.045,326.592,341.726,-15.134000000000015
0.015,0.05,325.899,341.684,-15.785000000000025
0.015,0.055,325.256,341.644,-16.388000000000034
0.015,0.06,324.662,341.606,-16.944000000000017
0.015,0.065,324.116,341.571,-17.45500000000004
0.015,0.07,323.617,341.537,-17.91999999999996
0.015,0.075,323.163,341.505,-18.341999999999985
0.015,0.08,322.755,341.475,-18.720000000000027
0.015,0.085,322.39,341.448,-19.057999999999993
0.015,0.09,322.069,341.422,-19.35300000000001
0.015,0.095,321.79,341.399,-19.60899999999998
0.015,0.1,321.553,341.377,-19.824000000000012
0.01,-5.78e-35,335.109,342.182,-7.073000000000036
0.01,0.005,333.893,342.121,-8.228000000000009
0.01,0.01,332.744,342.063,-9.31899999999996
0.01,0.015,331.66,342.006,-10.345999999999947
0.01,0.02,330.639,341.952,-11.312999999999988
0.01,0.025,329.678,341.9,-12.22199999999998
0.01,0.03,328.775,341.849,-13.074000000000012
0.01,0.035,327.928,341.801,-13.87299999999999
0.01,0.04,327.136,341.755,-14.618999999999971
0.01,0.045,326.397,341.711,-15.314000000000021
0.01,0.05,325.709,341.669,-15.95999999999998
0.01,0.055,325.071,341.629,-16.557999999999993
0.01,0.06,324.481,341.591,-17.110000000000014
0.01,0.065,323.939,341.555,-17.615999999999985
0.01,0.07,323.443,341.521,-18.07800000000003
0.01,0.075,322.993,341.49,-18.497000000000014
0.01,0.08,322.587,341.46,-18.87299999999999
0.01,0.085,322.225,341.432,-19.206999999999994
0.01,0.09,321.906,341.407,-19.500999999999976
0.01,0.095,321.63,341.383,-19.752999999999986
0.01,0.1,321.395,341.362,-19.96700000000004
0.005,-2.89e-35,334.835,342.165,-7.330000000000041
0.005,0.005,333.621,342.104,-8.483000000000004
0.005,0.01,332.478,342.045,-9.567000000000007
0.005,0.015,331.4,341.989,-10.588999999999999
0.005,0.02,330.386,341.934,-11.548000000000002
0.005,0.025,329.432,341.882,-12.449999999999989
0.005,0.03,328.536,341.832,-13.295999999999992
0.005,0.035,327.696,341.783,-14.086999999999989
0.005,0.04,326.91,341.737,-14.826999999999998
0.005,0.045,326.176,341.693,-15.516999999999996
0.005,0.05,325.494,341.651,-16.156999999999982
0.005,0.055,324.861,341.611,-16.75
0.005,0.06,324.276,341.574,-17.298000000000002
